Store,County,Longitude,Latitude,Street,City,State,Zip,Phone
3Fifteen Ann Arbor,Washtenaw ,-83.6874526,42.2548912,3720 Washtenaw Ave,Ann Arbor,MI,48104,734-436-4017
Amazing Budz,Lenawee ,-84.043207,41.8820434,1301 S Main St,Adrian,MI,49221,517-759-4012
Apothecare Ann Arbor,Washtenaw ,-83.7061721,42.3028445,2793 Plymouth Rd Suite K,Ann Arbor,MI,48105,734-800-2004
Arbors Wellness,Washtenaw ,-83.7451705,42.2796917,321 E Liberty St,Ann Arbor,MI,48104,734-929-2602
Bloom City Club Ann Arbor,Washtenaw ,-83.7524278,42.2835295,423 Miller Ave,Ann Arbor,MI,48103,734-585-0621
Cloud Cannabis Co.,Washtenaw ,-83.728759,42.2972556,1760 Plymouth Rd,Ann Arbor,MI,48105,734-619-1204
Exclusive Ann Arbor,Washtenaw,-83.7257792,42.231874,3820 Varsity Dr,Ann Arbor,MI,48108,734-494-0772
Gage Cannabis Co. Adrian,Lenawee ,-84.0434382,41.8823619,922 S Main St,Adrian,MI,49221,888-424-3463
Green Planet – Ann Arbor Provisioning Center,Washtenaw ,-83.7384804,42.2731667,700 Tappan Ave,Ann Arbor,MI,48104,734-845-2172
Heads Cannabis Company Adrian,Lenawee ,-84.0433274,41.8859975,913 S Main St,Adrian,MI,49221,517-662-4197
Herbana,Washtenaw ,-83.7500796,42.2725041,702 S Main St,Ann Arbor,MI,48104,734-212-1040
Herbology Dispensary Ann Arbor,Washtenaw ,-83.7851357,42.282305,2730 Jackson Ave,Ann Arbor,MI,48103,734-245-9309
High Profile Ann Arbor,Washtenaw ,-83.7410384,42.271506,617 Packard St,Ann Arbor,MI,48104,734-821-9333
Highwire Farms,Lenawee ,-84.04358,41.8872655,840 S Main St,Adrian,MI,49221,517-292-4420
Huron View Ann Arbor Dispensary,Washtenaw ,-83.7415661,42.2717815,3152 Packard St,Ann Arbor,MI,48108,734-882-2970
Information Entropy,Washtenaw,-83.73803,42.2899399,1115 Broadway St,Ann Arbor,MI,48105,734-929-4207
Joyology of Reading,Hillsdale ,-84.7478685,41.8369369,112 S Main St,Reading,MI,49274,517-901-0115
Liberty Cannabis,Washtenaw ,-83.7500879,42.2784205,338 S Ashley St,Ann Arbor,MI,48104,734-773-3075
Lume Cannabis Co. Adrian,Lenawee ,-84.0433789,41.8879532,738 S Main St,Adrian,MI,49221,517-759-1015
Lume Cannabis Co. Petersburg,Monroe ,-83.670689,41.865026,15205 Tandem Court,Petersburg,MI,49270,517-401-6986
Michigan Supply & Provisions Ann Arbor,Washtenaw ,-83.7745473,42.2694316,2019 W Stadium Blvd,Ann Arbor,MI,48103,734-794-3416
MIchigan Supply & Provisions Morenci,Lenawee ,-84.2034058,41.7178821,1096 E Main St,Morenci,MI,49256,517-458-3002
North Coast Provisions,Lenawee ,-84.0238127,41.8896346,922 E Beecher St,Adrian,MI,49221,517-759-4428
Om of Medicine,Washtenaw ,-83.7486955,42.2811141,111 S Main St 1st floor,Ann Arbor,MI,48104,734-369-8255
OZ Cannabis Ypsilanti,Washtenaw ,-83.6175948,42.2413061,19 N Hamilton St,Ypsilanti,MI,48197,734-487-5402
People’s Choice Alternative Medicine,Washtenaw,-83.7957572,42.2738701,2247 W Liberty Rd,Ann Arbor,MI,48103,734-369-8573
Pinnacle Emporium Provisioning Center Morenci,Lenawee ,-84.203463,41.717894,1098 E Main St,Morenci,MI,49256,517-458-3040
Pure Roots,Washtenaw ,-83.7333962,42.2799682,3430 Washtenaw Ave,Ann Arbor,MI,48104,844-325-3900
Remedii Stateline,Lenawee,-84.2042474,41.7182487,989 E Main St,Morenci,MI,49256,517-458-3800
SkyMInt – Ann Arbor,Washtenaw,-83.7372706,42.2604959,1958 S Industrial Hwy suite a & b,Ann Arbor,MI,48108,734-627-7360
Sticky Ypsi,Washtenaw ,-83.6309089,42.2563347,1090 N Huron River Dr,Ypsilanti,MI,48197,734-879-1204
Teebz of Adrian,Lenawee ,-84.0692583,41.905465,1561 W Maumee St,Adrian,MI,49221,517-759-4592
The Patient Station,Washtenaw ,-83.6144333,42.232502,539 S Huron St,Ypsilanti,MI,48197,734-544-9999
Treehouse,Washtenaw ,-83.7417299,42.2779712,603 E William St,Ann Arbor,MI,48104,734-773-3895
1st Quality Medz,Wayne,-83.1347893,42.2708131,286 Burke St,River Rouge,MI,48218,313-406-4688
BREEZE Provisioning Center,Oakland ,-83.1046081,42.4726832,24517 John R Rd,Hazel Park,MI,48030,833-927-3393
Common Citizen Hazel Park,Oakland,-83.1157957,42.4470045,877 E 8 Mile Rd,Hazel Park,MI,48030,248-776-0100
Gage Cannabis Co. Ferndale,Oakland ,-83.114751,42.4583197,1551 Academy St,Ferndale,MI,48220,888-424-3463
Green Buddha Cannabis Co.,Oakland ,-83.123293,42.4639559,1921 Hilton Rd,Ferndale,MI,48220,248-965-3911
Green Care,Wayne ,-83.1289562,42.280606,10880 W Jefferson Ave,River Rouge,MI,48218,313-406-5617
Greenhouse of Walled Lake,Oakland,-83.4844157,42.5316194,103 E Walled Lake Dr,Walled Lake,MI,48390,833-644-7336
Herbal Healing,Wayne ,-83.134558,42.2710775,261 Burke St,River Rouge,MI,48218,313-451-8007
Herbology Cannabis Co.,Wayne ,-83.137457,42.262454,11392 W Jefferson Ave,River Rouge,MI,48218,313-757-7684
Holistic Health Wayne,Wayne,-83.0528342,42.331678,38110 Michigan Ave,Wayne,MI,48184,734-884-4449
LIV Ferndale,Oakland ,-83.1236124,42.4675474,2625 Hilton Rd Suite 100,Ferndale,MI,48220,248-420-4200
Lume Cannabis Co. Walled Lake,Oakland ,-83.4807017,42.5390402,861 N Pontiac Trail,Walled Lake,MI,48390,947-214-2700
Michigan’s Finest MMD,Wayne ,-83.3362341,42.2676871,39112 Van Born Rd,Wayne,MI,48184,734-895-8277
New Standard Hazel Park,Oakland ,-83.1045156,42.475559,24906 John R Rd,Hazel Park,MI,48030,248-873-0420
Pleasantrees Hamtramck,Wayne ,-83.05197,42.395126,2238 Holbrook Ave,Hamtramck,MI,48212,313-774-0700
Quality Roots Hamtramck,Wayne ,-83.0672167,42.3970003,2024 Caniff St,Hamtramck,MI,48212,313-263-0360
